"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2018-08-23","HOU","1","0.8337","0.8337","FCD","1","0.7788","0.7788","0","0.0549","0.0549","0","1.371","1.275"
"2018-08-23","CHI","1","1.4589","1.4589","CLB","1","0.6087","0.6092","0","0.8503","0.8497","0","2.118","0.615"
"2018-08-22","NYC","1","0.953","0.953","NYRB","1","1.363","1.3644","0","-0.41","-0.4114","0","1.009","1.708"
"2018-08-19","LAFC","2","1.2341","1.2362","COL","0","0.5265","0.5279","2","0.7076","0.7082","2","1.952","0.752"
"2018-08-19","ATL","3","1.6966","1.6966","CLB","1","0.8122","0.8445","2","0.8844","0.8522","2","2.093","0.68"
"2018-08-19","DCU","2","1.7722","1.7722","NER","0","0.5494","0.5494","2","1.2228","1.2228","2","2.316","0.48"
"2018-08-18","SJE","1","2.5227","2.5522","TOR","1","1.5471","1.5471","0","0.9756","1.005","0","2.029","0.754"
"2018-08-18","MTL","2","1.4035","1.4035","CHI","1","0.814","0.8346","1","0.5895","0.5688","1","1.897","0.814"
"2018-08-18","SEA","4","2.7102","2.7136","LAG","0","1.3991","1.3991","4","1.3111","1.3144","5","2.269","0.583"
"2018-08-18","SKC","3","2.0775","2.0775","POR","0","0.2814","0.2814","3","1.7961","1.7961","3","2.666","0.2"
"2018-08-18","VAN","2","1.2653","1.2653","NYRB","2","2.4726","2.5802","0","-1.2073","-1.3149","0","0.631","2.185"
"2018-08-18","PHI","2","1.089","1.0903","NYC","0","0.7329","0.7329","2","0.3561","0.3574","2","1.689","1.008"
"2018-08-18","FCD","2","1.9202","1.9266","MIN","0","0.2531","0.2531","2","1.6671","1.6735","2","2.692","0.184"
"2018-08-18","HOU","1","1.4414","1.4714","RSL","2","3.5187","3.5187","-1","-2.0773","-2.0473","-1","0.343","2.542"
"2018-08-15","LAFC","2","1.4767","1.48","RSL","0","0.3144","0.3144","2","1.1624","1.1656","2","2.393","0.389"
"2018-08-15","DCU","4","1.993","1.993","POR","1","0.8891","0.8891","3","1.1039","1.1039","3","2.182","0.613"
"2018-08-14","LAG","2","1.0625","1.0625","COL","2","0.5807","0.5832","0","0.4818","0.4793","0","1.711","0.94"
"2018-08-12","TOR","2","1.2003","1.2003","NYC","3","2.4185","2.4498","-1","-1.2182","-1.2494","-1","0.596","2.204"
"2018-08-12","DCU","3","2.2109","2.2743","ORL","1","0.8331","0.8346","2","1.3777","1.4398","1","2.354","0.47"
"2018-08-12","SEA","2","1.3104","1.3143","FCD","1","1.0587","1.0587","1","0.2516","0.2556","1","1.534","1.132"
"2018-08-11","LAFC","0","1.9155","2.0402","SKC","2","1.485","1.5134","-2","0.4305","0.5268","-2","1.637","1.1"
"2018-08-11","LAG","2","1.1741","1.1797","MIN","2","1.3447","1.3447","0","-0.1706","-0.1651","0","1.178","1.544"
"2018-08-11","NER","2","2.294","2.3063","PHI","3","3.1946","3.2101","-1","-0.9006","-0.9038","-1","0.801","2.019"
"2018-08-11","CHI","0","0.8678","0.8678","NYRB","1","1.1491","1.1491","-1","-0.2813","-0.2813","-1","1.018","1.654"
"2018-08-11","COL","2","1.7154","1.718","SJE","1","1.7149","1.7164","1","0.0005","0.0016","1","1.341","1.392"
"2018-08-11","CLB","1","1.1114","1.1541","HOU","0","0.4427","0.4427","1","0.6687","0.7114","1","1.969","0.73"
"2018-08-11","POR","1","2.8682","2.8996","VAN","2","0.8235","0.8235","-1","2.0448","2.0761","-1","2.687","0.209"
"2018-08-11","RSL","1","1.3598","1.3598","MTL","1","1.1343","1.1418","0","0.2255","0.218","0","1.608","1.104"
"2018-08-05","NYRB","2","2.5711","2.5711","LAFC","1","1.2402","1.2402","1","1.331","1.331","1","2.306","0.53"
"2018-08-04","FCD","1","2.8101","2.9283","SJE","3","1.829","1.8307","-2","0.9811","1.0976","-2","2.044","0.754"
"2018-08-04","RSL","2","1.926","1.926","CHI","1","1.0424","1.0424","1","0.8836","0.8836","1","2.081","0.671"
"2018-08-04","COL","2","1.5854","1.5973","LAG","1","0.4498","0.4498","1","1.1356","1.1474","1","2.212","0.535"
"2018-08-04","ATL","2","3.2459","3.3588","TOR","2","1.2366","1.2366","0","2.0093","2.1222","0","2.582","0.302"
"2018-08-04","MIN","1","1.237","1.3117","SEA","2","2.9405","3.0474","-1","-1.7035","-1.7357","-1","0.433","2.413"
"2018-08-04","MTL","1","1.5984","1.6171","DCU","1","1.9512","2.1078","0","-0.3528","-0.4907","0","1.104","1.647"
"2018-08-04","ORL","3","1.1644","1.1644","NER","3","1.2183","1.2183","0","-0.0539","-0.0539","0","1.404","1.302"
"2018-08-04","NYC","2","2.7884","2.8424","VAN","2","0.4653","0.4653","0","2.3231","2.3771","0","2.783","0.143"
"2018-08-04","POR","3","2.7678","2.7678","PHI","0","0.8072","0.8072","3","1.9606","1.9606","3","2.672","0.227"
"2018-08-04","HOU","0","0.6671","0.6816","SKC","1","0.8718","0.8718","-1","-0.2047","-0.1902","-1","1.146","1.491"
"2018-07-29","LAG","4","3.4364","3.6153","ORL","2","0.9865","0.9901","2","2.4499","2.6253","1","2.653","0.244"
"2018-07-29","SEA","3","0.9674","0.9712","NYC","1","2.0606","2.0635","2","-1.0933","-1.0922","2","0.551","2.249"
"2018-07-28","MTL","1","0.6566","0.6566","ATL","2","2.3318","2.5803","-1","-1.6752","-1.9237","-1","0.37","2.467"
"2018-07-28","SKC","2","1.6749","1.6749","FCD","3","1.2643","1.2643","-1","0.4105","0.4105","-1","1.651","1.084"
"2018-07-28","NYRB","1","1.4889","1.4908","CLB","2","0.7434","0.7434","-1","0.7455","0.7474","-1","1.904","0.839"
"2018-07-28","SJE","0","1.1495","1.1568","RSL","0","0.2484","0.2484","0","0.9011","0.9084","0","2.167","0.514"
"2018-07-28","TOR","3","3.4213","4.1372","CHI","0","0.4811","0.4811","3","2.9402","3.6561","3","2.901","0.057"
"2018-07-28","VAN","4","2.3746","2.3886","MIN","2","1.5506","1.5508","2","0.8239","0.8378","2","1.932","0.828"
"2018-07-28","DCU","1","0.7422","0.7422","COL","1","1.1162","1.1162","0","-0.374","-0.374","1","0.863","1.793"
"2018-07-28","POR","2","1.9978","2.1787","HOU","1","1.2803","1.384","1","0.7175","0.7947","1","1.884","0.879"
"2018-07-26","LAFC","2","1.2952","1.4267","LAG","2","1.777","1.8156","0","-0.4818","-0.389","0","1.043","1.721"
"2018-07-26","ORL","0","1.1664","1.1722","NYC","2","2.557","2.6739","-2","-1.3907","-1.5017","-2","0.521","2.282"
