"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-05-04","NYRB","3","2.0346","2.1202","LAG","2","3.1337","3.3256","1","-1.0991","-1.2054","1","0.775","2.047"
"2019-05-04","RSL","1","1.6049","1.6073","POR","2","0.4486","0.4623","-1","1.1563","1.145","-1","2.367","0.441"
"2019-05-04","LAFC","0","2.5672","3.4594","CHI","0","0.9653","0.9653","0","1.6019","2.4941","0","2.362","0.445"
"2019-05-04","MTL","0","0.5528","0.5528","NYC","2","2.2122","2.2514","-2","-1.6594","-1.6986","-2","0.316","2.524"
"2019-05-04","HOU","2","1.991","2.104","FCD","1","1.6332","1.6456","1","0.3578","0.4584","1","1.64","1.037"
"2019-05-04","ORL","0","1.3353","1.3353","TOR","2","1.0102","1.0102","-2","0.3251","0.3251","-2","1.615","1.087"
"2019-05-04","DCU","3","2.0461","2.2617","CLB","0","0.6339","0.6355","3","1.4121","1.6262","2","2.455","0.382"
"2019-05-04","MIN","1","0.9688","0.9889","SEA","1","1.0031","1.0031","0","-0.0343","-0.0141","0","1.256","1.418"
"2019-05-04","SJE","1","0.598","0.598","CIN","0","1.1683","1.1841","1","-0.5703","-0.5861","1","0.831","1.845"
"2019-05-05","SKC","0","0.5814","0.5877","ATL","3","1.7266","1.743","-3","-1.1452","-1.1553","-3","0.546","2.217"
"2019-05-08","ATL","2","1.62","1.6712","TOR","0","0.7001","0.7085","2","0.9198","0.9628","2","2.066","0.689"
"2019-05-08","CLB","3","1.3957","1.3957","LAG","1","1.0698","1.0882","2","0.3259","0.3075","2","1.617","1.104"
"2019-05-08","CHI","5","3.0027","3.0331","NER","0","0.3913","0.3913","5","2.6114","2.6418","5","2.843","0.098"
"2019-05-08","NYRB","1","0.7116","0.7116","MTL","2","1.5538","1.5841","-1","-0.8423","-0.8725","-1","0.639","2.091"
"2019-05-10","VAN","1","1.3252","1.3656","POR","0","1.5532","1.5594","1","-0.228","-0.1938","1","1.222","1.513"
"2019-05-11","NER","3","2.0032","2.0194","SJE","1","1.62","1.684","2","0.3832","0.3354","2","1.725","1.011"
"2019-05-11","LAG","0","1.4486","1.5427","NYC","2","1.5978","1.6114","-2","-0.1492","-0.0687","-2","1.282","1.468"
"2019-05-11","COL","2","2.598","2.8472","RSL","3","2.787","2.8593","-1","-0.189","-0.012","-1","1.267","1.513"
"2019-05-11","CHI","2","2.3779","2.4053","MIN","0","0.8999","0.8999","2","1.4781","1.5054","2","2.45","0.38"
"2019-05-11","SEA","1","1.4913","1.4925","HOU","0","1.4031","1.4031","1","0.0882","0.0893","1","1.419","1.299"
"2019-05-11","CIN","2","0.5577","0.5577","MTL","1","1.1676","1.1677","1","-0.6099","-0.61","1","0.827","1.877"
